,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
36,1.7697299232350847,2,102,0.33,0.581,3.7926963814676777,9.887160535057971,2.4793774418067187
37,1.769887589049717,6,61,0.594,0.775,2.0770606577109976,5.247929516527952,1.1146160049829632
115,1.7701754773399936,4,88,0.8109999999999999,0.501,2.2093913928460647,2.6072483480881545,1.346085628028959
154,1.7701863047727129,1,125,0.82,0.5,2.4355662387285126,7.035831141780776,2.7147906669415534
192,1.770831467342664,6,60,0.635,0.16699999999999998,0.10596441320112347,9.975097114117704,0.8570315600372851
185,1.77094543596836,7,39,0.687,0.423,0.5825318031204276,8.460798092102534,0.815560535993427
155,1.7711599939416856,3,121,0.892,0.379,1.859825519454935,6.2117617913054275,2.6538590248674154
176,1.7717412900335907,11,36,0.726,0.645,0.1250218813462093,6.408356995479107,0.8404005861375481
178,1.7720299263191066,8,31,0.752,0.5720000000000001,0.9405972639384692,6.8658118983432885,0.7483432909939438
177,1.7721683129878505,10,42,0.812,0.46299999999999997,0.11936106997616447,7.370135337860201,0.7237029790412635
217,1.772681372191511,1,31,0.764,0.535,0.14452712930792555,5.194117617401559,0.7604870069772005
249,1.7728464156011132,11,103,0.885,0.767,1.1471910873223294,6.266696184340298,1.5503770031500608
148,1.7729627311362035,9,95,0.623,0.436,1.4809722672461152,2.7474552385719435,1.256669499911368
139,1.772975056521165,4,118,0.7609999999999999,0.583,2.2485075147454734,2.7242102756918847,2.1319017128553237
98,1.77311040298319,1,126,0.745,0.335,6.925026348852311,1.43604770866554,1.6007373339962214
102,1.7738971562445345,6,110,0.772,0.18899999999999997,3.8737718626316417,2.109723518139435,1.3214934871066362
106,1.7747643122911834,10,107,0.73,0.361,3.590162491871203,3.4288817729823027,0.9449084429070354
34,1.7750090621058907,5,67,0.703,0.912,2.670523302240241,0.8642702100082738,1.2917064798530191
21,1.7756268330968623,7,80,0.499,0.423,3.022966447153389,5.182018215455751,1.0001957891508937
94,1.776342144957634,1,116,0.544,0.38299999999999995,7.872305528712863,3.1234612092178486,1.3313957389909774
12,1.7765719854029058,4,88,0.39799999999999996,0.281,4.4822283389760464,7.488436247090973,1.4805863199289888
142,1.7777482670245754,12,79,0.604,0.8079999999999999,3.4347399860014423,4.800518367586994,1.1024575000628831
187,1.7778432699496418,10,69,0.8540000000000001,0.615,1.6032505302012103,7.970943428180924,0.8653964861296117
190,1.777898019530027,4,62,0.77,0.599,2.2846062246953025,7.7575501241330835,1.2520215639378875
93,1.7782495638110314,3,104,0.76,0.46299999999999997,6.597103450554659,2.251384532376755,1.3740875551011411
58,1.7790351218417266,3,50,0.726,0.46799999999999997,4.112487552312476,0.6005722660984922,0.9976146968547256
74,1.7790775389096647,22,94,0.644,0.41700000000000004,3.5358142253194123,2.868989852019101,1.090433686040342
156,1.7790966600484606,6,128,0.7829999999999999,0.41200000000000003,1.4259314483387953,5.995630414817058,1.9473589060362428
235,1.7795981548897677,12,116,0.44,0.595,1.675738795865426,4.843332298841924,1.8578440030105408
140,1.7802745078959767,7,85,0.797,0.29,4.4789391820483235,9.656945077285778,1.1266674771904943
194,1.7803318984128849,1,37,0.8690000000000001,0.6729999999999999,1.4198161366901243,8.245930693275351,0.9377047659363598
65,1.7812600060754005,11,74,0.794,0.7070000000000001,2.8358557473883383,0.12379554410457427,1.2065725561697036
87,1.7812972663524007,22,98,0.629,0.8440000000000001,5.090697397502437,3.77121146137074,1.253482707077637
134,1.7813882547609918,23,99,0.652,0.491,6.175840939476355,1.3954865438990054,1.013385924976319
75,1.7814243448530704,14,108,0.53,0.685,4.501474152093929,2.5332369058305626,1.3235476959962398
83,1.7821988133612328,7,113,0.757,0.14,6.1041967795901,4.1210734476661335,1.1328378999605777
121,1.782565606593168,10,80,0.544,0.366,4.478821936327359,3.2124965690368317,0.904894639039412
108,1.7827352465853998,9,75,0.509,0.152,5.251595161331101,4.478680171130464,1.2077433441299943
132,1.7828115309261119,3,73,0.519,0.327,4.8512800481493565,3.3223092461903763,1.3930608958471566
69,1.7830132378522991,15,112,0.695,0.747,4.683442801484083,2.029578103334483,1.1754894210025668
70,1.7830303182008058,8,100,0.621,0.575,5.198002346986431,1.1988973279588762,1.3960945568978786
241,1.783041437508898,4,86,0.772,0.308,2.342993992245169,9.866014746755418,3.46495712781325
237,1.7832581102088187,9,59,0.66,0.359,0.4576930041469043,5.56146324913664,1.0335465939715505
226,1.7835214463097695,6,97,0.27699999999999997,0.297,0.10695206723485763,8.39882391653897,1.7575483068358153
130,1.7836441028319727,5,77,0.35200000000000004,0.42200000000000004,5.665303506174469,2.5130134194733915,1.2667019572108984
114,1.7843486217693827,9,124,0.7390000000000001,0.593,8.000872276591144,1.3051365394696974,1.1725101280026138
198,1.785039100831011,5,34,0.667,0.39299999999999996,1.7727930797480929,6.7353221917569845,0.7372904829680921
100,1.7850668696788377,7,84,0.872,0.569,5.7075402284795524,0.8912891122876968,2.046189967077225
27,1.785411109526961,17,115,0.8029999999999999,0.929,1.84930742889868,2.7198900960477297,1.4886238481849432
8,1.7859368197025192,5,112,0.529,0.507,6.760211757954122,4.731020010709116,1.3775657708756626
73,1.7864100965708156,13,96,0.589,0.536,3.169593217016063,2.2363110102297292,1.3784055449068546
99,1.7865366198735773,4,110,0.885,0.447,4.742344445879485,3.5268211751367917,2.668177243089304
201,1.7869207748479476,15,122,0.6509999999999999,0.7440000000000001,1.4981089917831891,6.517276807321688,1.5351342661306262
200,1.7869924897287093,12,71,0.787,0.46,2.9208119160065955,6.125179516040358,1.2991578120272609
244,1.7875029153333153,10,30,0.71,0.174,1.4666467382762325,5.789780700485608,1.9070513900369408
123,1.7876083962415066,12,63,0.7020000000000001,0.16899999999999998,5.065000359574476,2.023338987797306,1.0975722060538828
145,1.7878561984854584,14,94,0.664,0.6679999999999999,3.197554604877668,3.041445846982772,1.088432471966371
172,1.7885981453143045,7,114,0.778,0.509,1.5815004719901318,8.300344125553133,1.4533498140517622
23,1.7887337192013917,1,83,0.8909999999999999,0.71,3.7695309177351706,2.1421666025496693,1.6926987450569868
131,1.7887727434210554,8,102,0.748,0.637,1.654165041626383,0.5956656281387499,1.5943423321004957
136,1.7888705106378364,11,115,0.59,0.72,1.2190946024587548,4.380845279735809,1.2851750650443137
225,1.7893079303262287,7,83,0.857,0.633,3.0264377080328826,7.268385508197736,1.23524648998864
113,1.79148475812491,12,106,0.88,0.65,2.666307544493267,1.8718720580011032,1.3880091679748148
56,1.791681055117411,13,53,0.867,0.628,3.0495041627971786,7.567114181417248,1.0544886160641909
232,1.7916978633265692,1,107,0.524,0.511,3.707843093367881,9.485394807189856,2.1341005680151284
242,1.7918056767095012,8,72,0.63,0.865,0.12566503830801934,7.2078656740731,1.2610460729338229
228,1.7920030346249043,11,78,0.743,0.38299999999999995,0.6833928895572847,8.812205314166034,2.0962584658991545
39,1.7922658029005396,10,56,0.895,0.8170000000000001,5.902351605198497,3.732052049217133,1.6041450940538198
143,1.7924391971150602,20,91,0.726,0.611,6.489897797444702,2.1975468932352547,1.13695723307319
105,1.7927374395797817,1,121,0.5720000000000001,0.298,7.657963777593631,4.226918784553131,1.2894953580107542
