,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
160,1.4568948097183445,21,36,0.449,0.7240000000000001,2.5779875595641646,0.5251938990345155,0.6757837501354516
27,1.4570150655835319,11,103,0.43,0.8170000000000001,2.7862514573157453,4.538757309384238,1.6347258270252496
189,1.4575905719135716,11,53,0.5529999999999999,0.82,4.565018502554187,0.8766776026271257,0.9740594571921974
98,1.4590659371400063,31,103,0.636,0.366,1.4784798955284066,2.378512062574666,1.5778073382098228
1,1.4592953889121767,37,81,0.506,0.48,1.508927885296102,3.5334536574352837,1.1627455360721797
76,1.4613228359813792,9,76,0.7240000000000001,0.779,0.6001779380418011,2.227458627485332,1.3388989889062939
219,1.4614090840578415,9,39,0.431,0.914,1.2035316719765272,6.859305109314881,0.8220842289738357
143,1.4620930318119003,9,61,0.669,0.92,3.1105066469924165,2.1889227091613193,1.1276367898099124
34,1.4628216827716767,1,114,0.44299999999999995,0.562,3.2026704203226246,1.29359405590061,2.423413955140859
157,1.4645189371979397,39,46,0.523,0.7070000000000001,0.26229348898946153,1.8811610556191052,0.7635798549745232
45,1.4655421207399804,23,91,0.527,0.316,1.640186577060707,2.9303292452480623,1.1250818478874862
168,1.4671903925754035,21,86,0.408,0.868,1.9815543764266603,0.15094507037222818,1.2932369420304894
182,1.4676362178165894,6,98,0.33399999999999996,0.581,0.10422165842060276,0.6106921514728475,1.4004747699946165
80,1.4727671710172776,12,94,0.674,0.696,3.789603252919151,0.7158247171376622,1.3152399349492043
213,1.4734445582554596,7,51,0.342,0.8759999999999999,0.9088867661536764,5.996589712016482,2.033035340020433
194,1.4737691184106128,25,56,0.6659999999999999,0.754,0.7372037653224037,1.0142272146359954,0.9926627390086652
193,1.474224489662719,16,77,0.523,0.158,5.061404932053682,0.6271499286236406,1.2763699819333851
95,1.475286271756846,20,108,0.7709999999999999,0.7140000000000001,4.817885927691983,9.375620351375431,1.458061097888276
49,1.4757568307751203,5,43,0.312,0.42700000000000005,2.8199579529661167,0.6451308872076288,1.045855849981308
210,1.4764027414159395,11,72,0.40399999999999997,0.659,2.003117558341086,1.310556030060607,7.869021099992096
78,1.4776915133552833,5,101,0.41,0.8370000000000001,1.7974135238221076,3.701199161933326,1.7106963980477303
196,1.47854253834878,28,103,0.604,0.7929999999999999,2.7248920977728406,5.008403707092773,1.4908591371495277
41,1.4809162944230465,23,82,0.746,0.809,4.372797797092601,1.2962801853941248,1.8136224129702896
218,1.481751672185002,15,47,0.722,0.336,4.431638503017651,2.6138833411913405,0.9611436338163912
249,1.4841421152101657,20,70,0.621,0.653,3.4147649822117465,6.180275485866973,1.178121600067243
0,1.4849254336633413,30,112,0.522,0.198,3.563874262918148,2.467631950665477,1.7209838728886098
35,1.4849352284862318,13,75,0.642,0.662,4.732790327088011,5.255025581959791,1.4924411608371884
40,1.4854587925372595,32,99,0.664,0.763,3.3700303681049437,2.3102760737521058,1.722832801984623
54,1.4857646050250948,16,117,0.853,0.162,5.637452918952677,1.1217416119797443,1.5179982029367238
118,1.4865488512458347,15,126,0.322,0.753,1.373602860788393,2.0607784483637466,1.645287943072617
59,1.4871012016106189,34,125,0.552,0.439,3.5532822925424603,9.923318600706713,1.6766350159887224
103,1.488245202358228,16,39,0.677,0.927,0.8486439886039445,2.917713157796582,0.7545156117994338
111,1.488449337556974,17,49,0.284,0.535,1.987095925622696,4.062115352428643,0.7593572910409421
121,1.4885386205888074,13,97,0.826,0.7290000000000001,6.3484178293472775,1.0826907788602855,1.1938864109106362
163,1.4887283022864684,24,68,0.688,0.802,0.7440385695765122,1.9904853660519384,1.1192705349531025
217,1.4892930196868903,18,30,0.562,0.547,3.5422476617663383,3.5519518191744903,0.6462985079269856
211,1.492345197490056,5,63,0.36200000000000004,0.7879999999999999,0.7135212612942805,1.5345311046065797,1.2570581089239568
209,1.4934554986330637,16,43,0.544,0.6970000000000001,4.774035160175184,2.2883293109695817,0.9892257160972804
86,1.500040751362781,3,115,0.35600000000000004,0.569,4.203159641085203,4.205624123111305,1.6762481709010901
105,1.5003591394828002,21,66,0.753,0.8490000000000001,4.044801833545578,4.614896173331632,1.1907149830367416
199,1.5007480626172405,13,31,0.28600000000000003,0.866,0.2509579504172033,3.1716075645107598,0.5187978320755064
178,1.5029770488917875,26,79,0.439,0.888,3.661709533567219,0.11412212915307085,1.256139823934063
36,1.5031463765872506,3,86,0.368,0.741,1.3324205637633524,7.238756660692832,1.4678564749192446
109,1.5057811480781529,29,100,0.371,0.703,0.11100815456787462,3.778721831249683,1.4102163480129093
138,1.5068641328271462,12,44,0.8009999999999999,0.865,6.144593450392642,0.9022612676425792,0.9206285101827234
184,1.509377388774951,30,93,0.505,0.527,5.716343895786215,2.506514510222946,1.2015294109005479
91,1.5093926249892993,8,113,0.28800000000000003,0.623,0.7986396119271159,5.1534400632387705,1.5643239568453282
44,1.5113383719003433,3,107,0.623,0.522,6.230236079085463,5.331918424626801,1.7771220749709755
82,1.5130088963511932,11,92,0.63,0.516,5.9362347863144205,3.077831064879505,1.348848402965814
180,1.5192586172682567,23,101,0.253,0.9570000000000001,1.5406499808367429,3.8831292916462576,1.4517809390090406
55,1.5196050272715231,17,113,0.622,0.49200000000000005,6.854922433838439,3.88593598411025,1.333993272157386
